year_month,category,top_counterpart,n_customers,n_transasctions,total_amount,pos_perc,ecom_perc
1-2022,cash,kantonalbank,22,27,7200.0,1.0,0.0
1-2022,transport,landi,19,46,710.3,1.0,0.0
1-2022,communication,adobe,21,27,934.34,0.0,1.0
1-2022,groceries,stocker,17,24,187.6,1.0,0.0
1-2022,health,other,399,679,44228.63,0.87,0.13
10-2021,entertainment,youtube,36,39,550.4,0.0,1.0
10-2021,communication,sky,38,43,763.25,0.0,1.0
10-2021,holidays,airbnb,11,12,3339.59,0.0,1.0
10-2021,communication,yallo,12,20,456.4,0.0,1.0
10-2021,transport,bolt,7,24,247.64,0.0,1.0
11-2021,groceries,coop,730,3433,80874.88,0.96,0.04
11-2021,shopping,hornbach,7,8,1344.4,0.94,0.06
11-2021,communication,tiktok,1,1,1.0,0.0,1.0
1-2022,groceries,migros,643,2503,75911.22,0.89,0.11
1-2022,entertainment,interwetten,7,75,4053.0,0.0,1.0
1-2022,shopping,ochsner,32,37,5070.25,0.83,0.17
1-2022,education,other,5,6,3588.51,0.95,0.05
6-2021,restaurants,sumup,74,97,2420.84,1.0,0.0
6-2021,transport,avia,73,122,5273.81,1.0,0.0
6-2021,restaurants,uber,37,118,4471.26,0.04,0.96
6-2021,transport,socar,63,104,2383.3,1.0,0.0
6-2021,transport,agrola,62,125,3473.67,1.0,0.0
6-2021,transport,tamoil,23,31,781.96,1.0,0.0
6-2021,entertainment,steam,13,22,524.57,0.0,1.0
6-2021,restaurants,marche,12,13,264.65,1.0,0.0
6-2021,communication,netflix.com,10,12,150.53,0.0,1.0
7-2021,restaurants,mcdonalds,140,232,4476.31,1.0,0.0
7-2021,communication,post,65,79,2618.04,1.0,0.0
7-2021,living,landi,36,44,2248.65,1.0,0.0
7-2021,transport,other,618,2280,62333.01,0.8,0.2
8-2021,transport,sbb,230,971,17068.4,0.28,0.72
8-2021,groceries,coop,685,3051,74694.29,0.98,0.02
8-2021,shopping,otto's,36,46,2065.75,0.92,0.08
8-2021,health,sumup,34,39,3771.49,1.0,0.0
8-2021,shopping,orell fussli,15,19,527.9,1.0,0.0
7-2021,entertainment,mycasino.ch,5,45,1440.0,0.0,1.0
8-2021,holidays,booking.com,16,19,4911.43,0.0,1.0
8-2021,shopping,hornbach,18,25,2043.6,0.72,0.28
9-2021,shopping,decathlon,22,27,1425.88,0.76,0.24
9-2021,communication,other,383,767,32502.0,0.04,0.96
9-2021,transport,easypark,29,96,256.24,0.0,1.0
9-2021,health,sumup,23,24,3093.16,1.0,0.0
9-2021,restaurants,tibits,25,44,996.7,1.0,0.0
1-2023,communication,spotify,146,149,2438.79,0.0,1.0
1-2023,cash,revolut,66,199,67971.24,0.0,1.0
1-2023,groceries,kkiosk,99,163,1595.65,1.0,0.0
1-2023,transport,parkingpay,31,136,939.18,0.0,1.0
1-2023,transport,tier,19,77,258.98,0.0,1.0
1-2023,shopping,migros,47,58,5141.9,0.82,0.18
1-2023,entertainment,microsoft,63,78,1645.86,0.0,1.0
1-2023,groceries,brezelkönig,32,41,276.0,1.0,0.0
1-2023,holidays,booking.com,37,48,23212.8,0.0,1.0
1-2023,communication,audible,30,31,331.04,0.0,1.0
1-2023,wellness,other,11,18,2378.59,0.79,0.21
2-2023,groceries,coop,865,3885,84114.58,0.96,0.04
2-2023,transport,uber,69,278,4603.59,0.03,0.97
2-2023,entertainment,interwetten,13,243,17804.13,0.0,1.0
2-2023,communication,amazon,66,107,1206.4,0.0,1.0
2-2023,communication,adobe,32,40,935.63,0.0,1.0
2-2023,cash,other,243,580,162154.94,0.83,0.17
1-2023,entertainment,paypal,25,51,1912.75,0.0,1.0
2-2023,shopping,amzn,35,74,3924.53,0.0,1.0
2-2023,transport,vbz,18,26,249.0,1.0,0.0
11-2022,groceries,kkiosk,110,196,1742.1,0.97,0.03
11-2022,transport,parkingpay,42,169,1243.49,0.0,1.0
11-2022,transport,tier,23,80,400.4,0.0,1.0
11-2022,health,amavita,53,62,1682.2,0.99,0.01
11-2022,living,landi,42,50,1952.3,1.0,0.0
11-2022,groceries,brezelkönig,49,70,435.6,0.93,0.07
11-2022,shopping,ochsner,33,39,3908.05,0.99,0.01
11-2022,Restaurant,other,4,4,128.5,1.0,0.0
12-2022,groceries,denner,298,666,15630.9,0.99,0.01
12-2022,transport,shell,100,148,4481.03,1.0,0.0
12-2022,shopping,amazon,127,237,11677.41,0.0,1.0
12-2022,shopping,ikea,71,118,8247.51,0.78,0.22
12-2022,shopping,sumup,83,112,5176.66,0.97,0.03
12-2022,restaurants,tibits,28,39,801.1,0.84,0.16
3-2022,groceries,volg,124,403,6601.4,1.0,0.0
3-2022,restaurants,starbucks,73,134,1335.5,0.91,0.09
3-2022,health,amavita,48,54,1598.65,0.97,0.03
3-2022,restaurants,vicafe,28,42,491.4,0.83,0.17
3-2022,holidays,airbnb,18,37,12797.69,0.0,1.0
4-2022,groceries,migrolino,96,256,1984.8,0.99,0.01
4-2022,shopping,muller,35,37,1204.6,1.0,0.0
4-2022,communication,sky,51,57,1002.73,0.0,1.0
3-2022,shopping,ochsner,29,34,2964.75,0.83,0.17
5-2022,transport,voi,16,45,203.86,0.0,1.0
5-2022,communication,other,454,899,41978.97,0.07,0.93
4-2022,restaurants,other,1045,6958,274508.67,0.95,0.05
4-2022,communication,yallo,13,16,559.35,0.0,1.0
5-2022,tax,other,169,270,10586.61,0.69,0.31
5-2022,shopping,globus,35,51,6512.0,1.0,0.0
6-2022,communication,apple,316,980,15565.68,0.0,1.0
6-2022,entertainment,interwetten,13,82,6375.35,0.0,1.0
6-2022,holidays,swiss,41,75,14205.08,0.05,0.95
6-2022,transport,paypal,15,51,1167.49,0.0,1.0
6-2022,Restaurant,other,5,9,670.8,1.0,0.0
8-2023,communication,google,137,479,8895.09,0.0,1.0
8-2023,transport,uber,59,172,3519.11,0.02,0.98
8-2023,entertainment,interwetten,17,211,22801.64,0.0,1.0
8-2023,restaurants,starbucks,88,169,1752.84,0.9,0.1
8-2023,groceries,steiner,51,92,1024.05,1.0,0.0
8-2023,groceries,sbb,27,41,294.6,1.0,0.0
8-2023,restaurants,vicafe,19,40,368.4,1.0,0.0
9-2023,transport,parkingpay,36,174,1652.95,0.0,1.0
9-2023,entertainment,steam,34,64,2000.49,0.0,1.0
8-2023,transport,vbz,24,41,280.2,1.0,0.0
8-2023,Groceries,other,1,1,38.4,1.0,0.0
9-2023,restaurants,other,1281,8792,280959.79,0.96,0.04
9-2023,living,other,115,194,13212.77,0.5,0.5
9-2023,transport,tier,24,75,261.14,0.02,0.98
9-2023,shopping,migros,41,51,3568.45,1.0,0.0
10-2023,entertainment,microsoft,47,49,1052.97,0.0,1.0
10-2023,communication,netflix.com,70,70,1139.07,0.0,1.0
10-2023,shopping,other,1208,4295,304175.93,0.69,0.31
10-2023,restaurants,other,1256,8576,279907.72,0.96,0.04
10-2023,cash,postfinance,66,123,22961.57,1.0,0.0
10-2023,entertainment,paypal,24,57,1206.27,0.0,1.0
10-2023,shopping,jelmoli,18,32,1564.63,0.89,0.11
7-2022,groceries,denner,285,610,14275.55,0.97,0.03
7-2022,transport,avia,118,197,8932.01,1.0,0.0
7-2022,transport,socar,107,153,3629.22,1.0,0.0
7-2022,transport,agrola,68,129,3406.05,1.0,0.0
7-2022,transport,tamoil,35,63,1783.3,1.0,0.0
7-2022,entertainment,youtube,41,41,619.43,0.0,1.0
7-2022,restaurants,tibits,26,67,1231.9,0.96,0.04
7-2022,health,dm-drogerie,30,45,1746.18,1.0,0.0
7-2022,holidays,swiss,27,43,4017.74,0.19,0.81
8-2022,groceries,migrolino,115,242,1779.4,1.0,0.0
8-2022,entertainment,microsoft,41,44,658.21,0.0,1.0
8-2022,entertainment,paypal,25,47,1989.86,0.0,1.0
8-2022,communication,paypal,93,201,5395.84,0.0,1.0
8-2022,transport,paypal,11,59,831.98,0.0,1.0
8-2022,education,other,3,3,197.17,0.15,0.85
9-2022,cash,revolut,83,205,78179.19,0.0,1.0
9-2022,communication,sky,43,54,897.8,0.0,1.0
9-2022,communication,yallo,10,16,398.85,0.0,1.0
9-2022,health,other,470,779,42039.27,0.87,0.13
9-2022,transport,shell,117,185,5188.45,1.0,0.0
9-2022,groceries,steiner,50,114,1189.6,1.0,0.0
9-2022,shopping,migros,41,48,2417.8,0.93,0.07
9-2022,restaurants,tibits,26,47,805.7,1.0,0.0
9-2022,groceries,sbb,24,36,306.15,1.0,0.0
1-2021,groceries,avec,18,29,369.3,1.0,0.0
1-2021,transport,migrol,47,70,2210.94,1.0,0.0
1-2021,restaurants,burger,37,55,1504.62,0.91,0.09
1-2021,groceries,sumup,19,27,882.55,1.0,0.0
