customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us
4896,11,98,15155.75,86,833,0.87,0.13,0.0,0.0,0.0,328.0,0.0,0.0,383.0,275.0,11397.0,0.0,6.0,871.0,0.0,0.0,1240.0,85.0,570.0,0.0,0.0,396.18,11678.91,0.0,0.0,0.0,3080.66,20.0,11.0,9.0,4.0,0.0,23.0,13.0
4897,5,50,2218.86,26,785,0.56,0.44,1073.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,14.0,0.0,0.0,120.0,0.0,0.0,230.0,102.0,618.0,0.0,0.0,896.2,1036.05,286.61,0.0,0.0,0.0,8.0,1.0,0.0,26.0,0.0,0.0,0.0
4898,9,288,3544.44,103,938,0.79,0.21,469.0,533.0,0.0,19.0,0.0,27.0,1192.0,52.0,8.0,0.0,0.0,538.0,0.0,0.0,62.0,1.0,644.0,0.0,0.0,1980.09,978.77,0.0,0.0,0.0,0.0,139.0,0.0,7.0,1.0,24.0,8.0,0.0
4899,9,474,15653.41,205,853,0.93,0.07,0.0,0.0,0.0,425.0,0.0,99.0,2634.0,1610.0,1042.0,0.0,35.0,3058.0,0.0,0.0,5479.0,0.0,1272.0,0.0,0.0,11336.98,2575.19,0.0,0.0,0.0,1333.21,349.0,5.0,2.0,0.0,0.0,43.0,14.0
4900,2,167,1270.55,18,450,0.96,0.04,0.0,0.0,0.0,60.0,0.0,3.0,715.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,1215.1,0.0,0.0,0.0,0.0,55.45,161.0,0.0,0.0,0.0,0.0,0.0,0.0
4901,13,432,5259.18,166,507,0.45,0.55,0.0,12.0,0.0,21.0,0.0,144.0,1627.0,39.0,2339.0,0.0,0.0,448.0,0.0,0.0,272.0,18.0,338.0,0.0,952.66,3351.35,617.87,0.0,0.0,219.03,51.46,218.0,16.0,0.0,5.0,1.0,0.0,2.0
4902,9,2221,107437.59,419,842,0.7,0.3,99.0,2442.0,0.0,5945.0,0.0,485.0,31342.0,836.0,10648.0,0.0,4594.0,13625.0,0.0,0.0,30127.0,253.0,7042.0,0.0,0.0,99895.22,7542.37,0.0,0.0,0.0,0.0,2064.0,49.0,21.0,0.0,47.0,0.0,0.0
4903,17,1862,82139.57,404,964,0.49,0.51,19297.0,4555.0,0.0,1428.0,0.0,2471.0,9457.0,1618.0,7027.0,0.0,100.0,13114.0,0.0,3120.0,14378.0,0.0,5576.0,0.0,2885.29,63993.5,7820.93,57.11,0.0,2397.71,4985.03,1483.0,18.0,18.0,7.0,57.0,0.0,95.0
4904,17,1143,62445.77,337,539,0.46,0.54,309.0,4361.0,146.0,1440.0,0.0,249.0,21720.0,3518.0,2957.0,0.0,154.0,3571.0,0.0,0.0,18891.0,1125.0,3960.0,45.0,0.0,55686.83,6659.2,0.0,0.0,0.0,99.74,813.0,119.0,2.0,22.0,68.0,1.0,16.0
4905,10,166,35180.61,113,884,0.8,0.2,0.0,789.0,0.0,2040.0,0.0,33.0,196.0,311.0,25295.0,0.0,6.0,2051.0,0.0,0.0,4205.0,0.0,255.0,0.0,0.0,5470.65,29065.12,0.0,0.0,0.0,157.06,54.0,29.0,4.0,0.0,5.0,0.0,1.0
4906,7,246,12269.08,25,911,0.01,0.99,0.0,471.0,0.0,734.0,0.0,1176.0,6228.0,0.0,968.0,0.0,0.0,0.0,0.0,0.0,1993.0,0.0,699.0,0.0,0.0,11555.17,438.42,0.0,0.0,0.0,275.49,179.0,2.0,0.0,3.0,0.0,0.0,0.0
4907,16,1433,60862.39,458,925,0.65,0.35,79.0,4248.0,0.0,599.0,0.0,982.0,13693.0,623.0,5433.0,0.0,721.0,9986.0,0.0,0.0,16801.0,218.0,7479.0,0.0,0.0,50210.22,8218.76,77.4,0.0,0.0,2295.09,1133.0,110.0,3.0,10.0,2.0,14.0,87.0
4908,4,178,4002.76,6,598,0.0,1.0,821.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2853.0,279.0,0.0,0.0,0.0,0.0,1489.21,2513.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,172.0,2.0,0.0,0.0
