customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us,churned,segment
1569,14,500,14369.41,335,800,0.67,0.33,438.0,18.0,0.0,431.0,0.0,64.0,1609.0,262.0,2969.0,0.0,209.0,2242.0,0.0,0.0,4566.0,11.0,1552.0,0.0,0.0,1399.04,11520.86,0.0,0.0,0.0,0.0,22.0,4.0,20.0,2.0,1.0,60.0,0.0,False,Active
1570,6,219,31306.45,157,744,0.38,0.62,0.0,80.0,0.0,1898.0,0.0,20.0,1477.0,371.0,21643.0,0.0,0.0,1819.0,0.0,0.0,2292.0,110.0,1597.0,0.0,0.0,6005.92,833.37,12.26,0.0,0.0,24454.9,26.0,4.0,0.0,4.0,0.0,0.0,179.0,False,Active
1574,1,12,410.64,11,329,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,229.0,0.0,55.0,0.0,0.0,410.64,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1575,9,785,10379.64,371,366,0.75,0.25,0.0,258.0,0.0,798.0,0.0,313.0,1086.0,1153.0,453.0,0.0,0.0,2618.0,0.0,0.0,2397.0,12.0,1290.0,0.0,2655.83,392.56,1890.81,5401.19,0.0,0.0,14.76,17.0,0.0,0.0,388.0,182.0,0.0,3.0,False,Active
1580,10,67,4236.75,53,350,0.62,0.38,496.0,3.0,0.0,0.0,0.0,48.0,377.0,276.0,1233.0,0.0,0.0,459.0,0.0,0.0,1151.0,7.0,186.0,0.0,0.0,361.61,2742.51,0.0,0.0,185.47,274.32,9.0,5.0,0.0,0.0,0.0,26.0,2.0,False,Active
1581,13,502,32867.04,188,935,0.4,0.6,0.0,2460.0,0.0,606.0,0.0,7096.0,1543.0,478.0,10159.0,0.0,190.0,2077.0,0.0,0.0,6972.0,23.0,1216.0,46.0,0.0,25810.52,6502.81,0.0,0.0,0.0,171.65,214.0,26.0,66.0,8.0,112.0,14.0,3.0,False,Active
1582,7,41,2114.94,21,535,0.26,0.74,0.0,116.0,0.0,31.0,0.0,52.0,428.0,0.0,0.0,0.0,41.0,10.0,0.0,0.0,1395.0,0.0,42.0,0.0,0.0,2034.72,24.25,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,2.0,0.0,0.0,False,Active
1590,9,1662,107215.35,672,962,0.92,0.08,6751.0,252.0,0.0,1084.0,0.0,806.0,20540.0,5068.0,11482.0,0.0,447.0,41997.0,0.0,0.0,10279.0,215.0,8293.0,0.0,0.0,87388.09,18718.77,0.0,0.0,0.0,1108.49,1461.0,44.0,70.0,0.0,0.0,34.0,10.0,False,Active
1602,1,31,102.35,3,66,0.22,0.78,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,102.35,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1609,2,151,2500.44,57,381,0.97,0.03,0.0,0.0,0.0,48.0,0.0,4.0,572.0,228.0,18.0,0.0,0.0,794.0,0.0,0.0,803.0,0.0,34.0,0.0,0.0,2488.94,11.5,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1611,9,142,43579.29,102,208,0.06,0.94,1000.0,84.0,0.0,15.0,0.0,0.0,317.0,0.0,36818.0,0.0,0.0,394.0,0.0,3999.0,534.0,0.0,418.0,0.0,0.0,31643.06,6989.65,0.0,0.0,0.0,2066.4,22.0,1.0,1.0,4.0,0.0,0.0,27.0,False,Active
1612,12,248,9028.53,163,340,0.66,0.34,0.0,233.0,0.0,171.0,0.0,146.0,441.0,446.0,1812.0,0.0,157.0,2059.0,0.0,0.0,1744.0,92.0,1728.0,0.0,0.0,2149.97,5033.56,1785.8,0.0,0.0,0.0,66.0,90.0,3.0,39.0,10.0,1.0,1.0,False,Active
1614,2,20,321.34,8,16,0.59,0.41,0.0,0.0,0.0,0.0,0.0,48.0,10.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,56.0,0.0,141.0,0.0,0.0,255.55,65.79,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,False,Active
1617,2,26,1585.73,10,690,0.0,1.0,0.0,36.0,0.0,0.0,0.0,55.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,473.0,798.0,0.0,88.0,0.0,0.0,1112.78,472.95,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,False,Active
1622,10,49,2808.78,26,695,0.11,0.89,0.0,135.0,0.0,680.0,0.0,0.0,15.0,21.0,0.0,0.0,0.0,35.0,0.0,0.0,1696.0,0.0,227.0,0.0,0.0,2586.86,197.7,0.0,0.0,0.0,24.22,13.0,9.0,2.0,8.0,1.0,0.0,7.0,False,Active
1623,2,119,999.29,30,309,1.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,685.0,42.0,0.0,0.0,0.0,175.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,920.7,78.59,0.0,0.0,0.0,0.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0,False,Active
1627,9,712,26614.52,190,756,0.61,0.39,1079.0,683.0,0.0,1342.0,0.0,254.0,2123.0,1533.0,7438.0,0.0,0.0,5931.0,0.0,0.0,4614.0,120.0,1497.0,0.0,0.0,19004.38,7403.27,0.0,0.0,0.0,206.87,644.0,0.0,0.0,9.0,0.0,4.0,38.0,False,Active
1628,2,33,255.71,27,60,0.64,0.36,0.0,22.0,0.0,12.0,0.0,4.0,55.0,14.0,0.0,0.0,0.0,20.0,0.0,0.0,78.0,0.0,51.0,0.0,0.0,21.45,0.0,234.26,0.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,False,Active
1629,6,214,12167.26,107,279,0.72,0.28,0.0,698.0,0.0,458.0,0.0,516.0,1834.0,113.0,2779.0,0.0,0.0,1925.0,0.0,0.0,1453.0,0.0,2392.0,0.0,0.0,238.7,0.0,0.0,0.0,0.0,2701.73,2.0,0.0,0.0,0.0,0.0,0.0,29.0,False,Active
1631,12,258,20612.84,196,395,0.47,0.53,0.0,75.0,0.0,2149.0,0.0,82.0,947.0,478.0,10724.0,0.0,0.0,3322.0,0.0,0.0,2288.0,42.0,507.0,0.0,0.0,3772.97,6726.04,1266.61,0.0,0.0,6351.96,10.0,53.0,0.0,51.0,0.0,1.0,57.0,False,Active
1632,6,216,890.48,53,731,0.84,0.16,0.0,25.0,0.0,62.0,0.0,0.0,467.0,50.0,0.0,0.0,0.0,98.0,0.0,0.0,103.0,0.0,86.0,0.0,0.0,855.85,34.63,0.0,0.0,0.0,0.0,196.0,12.0,1.0,4.0,0.0,0.0,1.0,False,Active
1633,15,490,34182.14,106,554,0.2,0.8,50.0,2390.0,0.0,8545.0,0.0,6130.0,869.0,30.0,3421.0,0.0,1038.0,195.0,0.0,0.0,9171.0,98.0,2245.0,0.0,0.0,11158.4,22967.3,0.0,0.0,0.0,51.8,144.0,79.0,0.0,114.0,18.0,0.0,21.0,False,Active
1636,3,10,382.71,4,335,0.0,1.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,170.0,212.71,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1637,5,437,10760.82,179,910,0.88,0.12,3450.0,224.0,0.0,157.0,0.0,272.0,1823.0,0.0,379.0,0.0,0.0,2950.0,0.0,12.0,861.0,37.0,597.0,0.0,0.0,10229.63,311.27,0.0,0.0,0.0,219.92,405.0,4.0,0.0,1.0,0.0,17.0,10.0,False,Active
1638,9,493,11559.2,133,588,0.51,0.49,1046.0,3108.0,0.0,246.0,0.0,90.0,1817.0,200.0,0.0,0.0,70.0,1715.0,0.0,0.0,2303.0,10.0,955.0,0.0,0.0,10013.91,1506.91,0.0,0.0,0.0,38.38,319.0,35.0,19.0,0.0,91.0,0.0,0.0,False,Active
1639,10,505,15162.07,277,964,0.81,0.19,337.0,734.0,0.0,801.0,0.0,260.0,2137.0,192.0,2636.0,0.0,47.0,3687.0,0.0,100.0,1340.0,12.0,2878.0,0.0,0.0,11668.74,3426.34,0.0,0.0,0.0,66.99,313.0,67.0,0.0,2.0,43.0,4.0,12.0,False,Active
1640,19,2056,108705.22,574,964,0.49,0.51,12433.0,2888.0,0.0,864.0,0.0,6715.0,22421.0,6151.0,7404.0,0.0,1486.0,14833.0,0.0,0.0,23817.0,2228.0,7463.0,0.0,0.0,93883.09,12234.2,1827.37,0.0,0.0,760.56,1726.0,44.0,4.0,101.0,65.0,8.0,9.0,False,Active
1659,5,31,1626.57,13,282,0.05,0.95,40.0,253.0,0.0,1280.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,386.55,175.54,0.0,0.0,0.0,1064.48,8.0,0.0,0.0,1.0,10.0,0.0,0.0,False,Active
1663,5,163,18835.57,79,123,0.97,0.03,9170.0,0.0,0.0,106.0,0.0,503.0,1866.0,28.0,0.0,0.0,366.0,2595.0,0.0,0.0,2838.0,20.0,1346.0,0.0,0.0,17257.04,1578.53,0.0,0.0,0.0,0.0,129.0,0.0,27.0,2.0,0.0,0.0,0.0,False,Active
1664,3,115,21351.87,34,160,0.39,0.61,6700.0,11.0,0.0,12970.0,0.0,0.0,108.0,18.0,0.0,0.0,0.0,232.0,0.0,0.0,276.0,600.0,438.0,0.0,0.0,21135.57,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1665,3,71,3031.42,45,59,0.96,0.04,0.0,0.0,0.0,114.0,0.0,0.0,1223.0,33.0,39.0,0.0,0.0,896.0,0.0,0.0,156.0,0.0,571.0,0.0,0.0,2040.93,990.49,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1674,2,17,2545.3,14,187,0.21,0.79,0.0,0.0,0.0,0.0,0.0,110.0,231.0,0.0,1624.0,0.0,0.0,489.0,0.0,0.0,0.0,80.0,12.0,0.0,0.0,2545.3,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1675,3,50,687.42,22,405,0.57,0.43,0.0,0.0,0.0,20.0,0.0,201.0,160.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,119.0,0.0,65.0,0.0,0.0,450.76,35.35,0.0,0.0,0.0,201.31,46.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Active
1677,2,242,3139.28,20,328,0.11,0.89,0.0,0.0,0.0,2802.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,3119.45,19.83,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Active
1678,12,2400,106383.12,593,960,0.62,0.38,0.0,1525.0,0.0,5469.0,0.0,845.0,34868.0,5143.0,11433.0,0.0,455.0,8647.0,0.0,298.0,27045.0,240.0,10375.0,40.0,0.0,100940.93,4507.49,747.24,0.0,0.0,187.46,2258.0,53.0,0.0,10.0,31.0,1.0,4.0,False,Active
